starttime	seconds	ctime	dtime	ttime	wait
Sun Nov 29 09:48:10 2015	1448786890	61	64	125	62
Sun Nov 29 09:48:10 2015	1448786890	60	66	126	65
Sun Nov 29 09:48:10 2015	1448786890	63	62	126	62
Sun Nov 29 09:48:09 2015	1448786889	58	69	127	66
Sun Nov 29 09:48:10 2015	1448786890	59	68	127	66
Sun Nov 29 09:48:10 2015	1448786890	59	67	127	66
Sun Nov 29 09:48:10 2015	1448786890	62	65	127	64
Sun Nov 29 09:48:10 2015	1448786890	61	67	128	65
Sun Nov 29 09:48:10 2015	1448786890	64	64	128	64
Sun Nov 29 09:48:09 2015	1448786889	62	67	129	65
Sun Nov 29 09:48:10 2015	1448786890	61	68	130	66
Sun Nov 29 09:48:10 2015	1448786890	63	67	130	67
Sun Nov 29 09:48:10 2015	1448786890	60	70	130	69
Sun Nov 29 09:48:10 2015	1448786890	65	68	133	67
Sun Nov 29 09:48:11 2015	1448786891	65	68	133	67
Sun Nov 29 09:48:10 2015	1448786890	64	69	133	68
Sun Nov 29 09:48:11 2015	1448786891	63	71	134	69
Sun Nov 29 09:48:10 2015	1448786890	66	68	134	66
Sun Nov 29 09:48:10 2015	1448786890	64	70	134	66
Sun Nov 29 09:48:10 2015	1448786890	64	70	134	67
Sun Nov 29 09:48:11 2015	1448786891	66	69	135	66
Sun Nov 29 09:48:10 2015	1448786890	64	70	135	69
Sun Nov 29 09:48:11 2015	1448786891	63	72	135	72
Sun Nov 29 09:48:11 2015	1448786891	62	73	135	71
Sun Nov 29 09:48:09 2015	1448786889	67	68	135	68
Sun Nov 29 09:48:10 2015	1448786890	63	72	136	71
Sun Nov 29 09:48:10 2015	1448786890	64	71	136	70
Sun Nov 29 09:48:10 2015	1448786890	62	73	136	70
Sun Nov 29 09:48:10 2015	1448786890	62	74	137	72
Sun Nov 29 09:48:10 2015	1448786890	68	69	137	69
Sun Nov 29 09:48:10 2015	1448786890	62	75	137	74
Sun Nov 29 09:48:10 2015	1448786890	68	70	138	68
Sun Nov 29 09:48:11 2015	1448786891	68	70	138	68
Sun Nov 29 09:48:11 2015	1448786891	65	73	138	72
Sun Nov 29 09:48:11 2015	1448786891	67	71	139	71
Sun Nov 29 09:48:09 2015	1448786889	64	76	139	73
Sun Nov 29 09:48:10 2015	1448786890	64	77	140	70
Sun Nov 29 09:48:11 2015	1448786891	64	77	140	75
Sun Nov 29 09:48:11 2015	1448786891	67	73	140	70
Sun Nov 29 09:48:10 2015	1448786890	66	75	141	71
Sun Nov 29 09:48:10 2015	1448786890	69	73	142	68
Sun Nov 29 09:48:10 2015	1448786890	67	76	144	74
Sun Nov 29 09:48:11 2015	1448786891	65	79	144	77
Sun Nov 29 09:48:10 2015	1448786890	73	71	144	69
Sun Nov 29 09:48:10 2015	1448786890	63	82	145	78
Sun Nov 29 09:48:10 2015	1448786890	69	77	146	73
Sun Nov 29 09:48:10 2015	1448786890	80	67	147	66
Sun Nov 29 09:48:09 2015	1448786889	64	83	147	81
Sun Nov 29 09:48:11 2015	1448786891	66	82	147	80
Sun Nov 29 09:48:10 2015	1448786890	75	73	148	71
Sun Nov 29 09:48:10 2015	1448786890	76	72	149	70
Sun Nov 29 09:48:10 2015	1448786890	73	77	149	75
Sun Nov 29 09:48:10 2015	1448786890	73	77	150	73
Sun Nov 29 09:48:10 2015	1448786890	66	84	150	69
Sun Nov 29 09:48:10 2015	1448786890	78	73	151	72
Sun Nov 29 09:48:10 2015	1448786890	74	77	151	75
Sun Nov 29 09:48:09 2015	1448786889	62	89	151	83
Sun Nov 29 09:48:10 2015	1448786890	78	73	151	72
Sun Nov 29 09:48:10 2015	1448786890	70	82	152	77
Sun Nov 29 09:48:09 2015	1448786889	67	85	152	81
Sun Nov 29 09:48:10 2015	1448786890	74	79	153	77
Sun Nov 29 09:48:09 2015	1448786889	69	85	153	82
Sun Nov 29 09:48:09 2015	1448786889	65	88	154	88
Sun Nov 29 09:48:10 2015	1448786890	69	85	154	83
Sun Nov 29 09:48:09 2015	1448786889	67	89	155	82
Sun Nov 29 09:48:10 2015	1448786890	67	89	155	88
Sun Nov 29 09:48:09 2015	1448786889	64	92	156	84
Sun Nov 29 09:48:09 2015	1448786889	63	95	158	89
Sun Nov 29 09:48:10 2015	1448786890	75	83	158	81
Sun Nov 29 09:48:10 2015	1448786890	77	82	158	81
Sun Nov 29 09:48:09 2015	1448786889	65	94	159	89
Sun Nov 29 09:48:10 2015	1448786890	80	79	159	74
Sun Nov 29 09:48:10 2015	1448786890	62	97	159	97
Sun Nov 29 09:48:09 2015	1448786889	67	93	159	91
Sun Nov 29 09:48:10 2015	1448786890	75	86	161	86
Sun Nov 29 09:48:10 2015	1448786890	77	84	161	77
Sun Nov 29 09:48:10 2015	1448786890	74	88	162	85
Sun Nov 29 09:48:10 2015	1448786890	84	78	162	76
Sun Nov 29 09:48:09 2015	1448786889	69	94	163	90
Sun Nov 29 09:48:10 2015	1448786890	65	98	163	96
Sun Nov 29 09:48:10 2015	1448786890	77	87	164	87
Sun Nov 29 09:48:10 2015	1448786890	70	94	164	94
Sun Nov 29 09:48:10 2015	1448786890	67	97	164	94
Sun Nov 29 09:48:09 2015	1448786889	78	88	166	85
Sun Nov 29 09:48:10 2015	1448786890	82	85	167	85
Sun Nov 29 09:48:09 2015	1448786889	64	103	167	103
Sun Nov 29 09:48:09 2015	1448786889	70	101	171	99
Sun Nov 29 09:48:10 2015	1448786890	63	110	173	95
Sun Nov 29 09:48:10 2015	1448786890	78	95	173	93
Sun Nov 29 09:48:09 2015	1448786889	67	109	176	104
Sun Nov 29 09:48:10 2015	1448786890	87	89	176	85
Sun Nov 29 09:48:09 2015	1448786889	63	116	179	113
Sun Nov 29 09:48:09 2015	1448786889	66	118	184	116
Sun Nov 29 09:48:10 2015	1448786890	78	107	185	105
Sun Nov 29 09:48:10 2015	1448786890	99	92	191	83
Sun Nov 29 09:48:09 2015	1448786889	68	124	192	123
Sun Nov 29 09:48:10 2015	1448786890	112	86	198	82
Sun Nov 29 09:48:10 2015	1448786890	74	131	205	113
Sun Nov 29 09:48:10 2015	1448786890	123	83	207	81
Sun Nov 29 09:48:10 2015	1448786890	77	130	207	111
